hHostNameFinal,hHostNameIUCN,hHostNameIUCN_spatial,hHostNameST,hFamily,Synonyms,hIUCNstatus,IUCNmap,Diet,area_sqm,area_sqkm,hMassGrams,PVRST_resid_Mass,cave_status,roosting_behavior,roosting_reference,PubMed_hits,s_PMpublications,PubMedtotal,n_virus_str,n_virus_sera,n_virus_total,prop_virus_str_total,sympatric_species,str_sympatric_species,n_coroosters,sharedhosts,sharedhosts_str
Rhinolophus_rex,Rhinolophus_rex,Rhinolophus_rex,Rhinolophus_rex,RHINOLOPHIDAE,,LC,YES,Insectivore,53009601097,53009.6011,NA,NA,facultative,cave_roosting,"1,109",1,0,1,1,0,1,1,21,18,1,2,2
Rhinolophus_rouxii,Rhinolophus_rouxii,Rhinolophus_rouxii,Rhinolophus_rouxii,RHINOLOPHIDAE,Rhinolophus cinerascens  |Rhinolophus fulvidus  |Rhinolophus petersii  |Rhinolophus rammanika  |Rhinolophus rouxi  |Rhinolophus rubidus,LC,YES,Insectivore,8.69E+11,868678.9722,12.25,0.194999178,facultative,cave_roosting,126,2,56,58,1,1,2,0.5,39,30,NA,15,1
Rhinolophus_shameli,Rhinolophus_shameli,Rhinolophus_shameli,Rhinolophus_shameli,RHINOLOPHIDAE,,LC,YES,Insectivore,7.71E+11,770589.3203,9.61,-0.050102825,facultative,cave_roosting,142,1,0,1,1,0,1,1,36,30,NA,2,2
Rhinolophus_sinicus,Rhinolophus_sinicus,Rhinolophus_sinicus,Rhinolophus_sinicus,RHINOLOPHIDAE,Rhinolophus rouxii subspecies sinicus,LC,YES,Insectivore,2.18E+12,2177356.554,11.78181818,0.156030752,facultative,cave_roosting,123,22,0,22,1,1,2,0.5,44,35,NA,18,7
Antrozous_pallidus,Antrozous_pallidus,Antrozous_pallidus,Antrozous_pallidus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,4.38E+12,4379351.602,22.24,0.792808347,facultative,cave_roosting,2,29,0,29,1,0,1,1,52,42,2,60,60
Barbastella_barbastellus,Barbastella_barbastellus,Barbastella_barbastellus,Barbastella_barbastellus,VESPERTILIONIDAE,NA,NT,YES,Insectivore,3.81E+12,3805495.798,8.31,-0.186618543,facultative,cave_roosting,"1,79",13,0,13,1,1,2,0.5,20,19,NA,13,13
Corynorhinus_townsendii,Corynorhinus_townsendii,Corynorhinus_townsendii,Corynorhinus_townsendii,VESPERTILIONIDAE,Plecotus townsendii,LC,YES,Insectivore,4.61E+12,4605278.218,10.3,0.028898396,facultative,cave_roosting,"1,28",4,3,7,1,0,1,1,58,46,5,60,60
Eptesicus_furinalis,Eptesicus_furinalis,Eptesicus_furinalis,Eptesicus_furinalis,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.64E+13,16386735.74,7.7,-0.25084592,facultative,cave_roosting,"1,42",8,0,8,1,0,1,1,81,50,NA,60,60
Eptesicus_fuscus,Eptesicus_fuscus,Eptesicus_fuscus,Eptesicus_fuscus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.28E+13,12815434.93,17.49,0.56956304,facultative,cave_roosting,"1,34",434,0,434,2,3,5,0.4,85,58,6,77,60
Eptesicus_serotinus,Eptesicus_serotinus,Eptesicus_serotinus,Eptesicus_serotinus,VESPERTILIONIDAE,Eptesicus isabellinus  |Eptesicus isabellinus  |Eptesicus isabellinus,LC,YES,Insectivore,1.21E+13,12129638.89,23.09,0.847333374,facultative,cave_roosting,1,59,9,68,3,0,3,1,63,54,NA,21,21
Euderma_maculatum,Euderma_maculatum,Euderma_maculatum,Euderma_maculatum,VESPERTILIONIDAE,NA,LC,YES,Insectivore,2.11E+12,2108364.173,16.17,0.479533753,facultative,cave_roosting,"1,32",5,0,5,1,0,1,1,30,26,NA,60,60
Histiotus_montanus,Histiotus_montanus,Histiotus_montanus,Histiotus_montanus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,3.30E+12,3302461.49,15.94,0.466123937,facultative,cave_roosting,159,4,0,4,1,0,1,1,63,38,NA,60,60
Histiotus_velatus,Histiotus_velatus,Histiotus_velatus,Histiotus_velatus,VESPERTILIONIDAE,NA,DD,YES,Insectivore,3.15E+12,3154911.785,11.32,0.123863336,facultative,cave_roosting,160,5,0,5,0,1,1,0,53,NA,NA,21,0
Lasionycteris_noctivagans,Lasionycteris_noctivagans,Lasionycteris_noctivagans,Lasionycteris_noctivagans,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.01E+13,10115506.4,11.02,0.090627682,facultative,cave_roosting,"1,45",38,0,38,1,0,1,1,44,39,NA,60,60
Lasiurus_borealis,Lasiurus_borealis,Lasiurus_borealis,Lasiurus_borealis,VESPERTILIONIDAE,NA,LC,YES,Insectivore,4.88E+12,4882211.063,12.33,0.23371226,facultative,cave_roosting,"1,46",29,0,29,1,0,1,1,38,34,NA,60,60
Lasiurus_cinereus,Lasiurus_cinereus,Lasiurus_cinereus,Lasiurus_cinereus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,2.11E+13,21099618.64,27.06,1.017920085,facultative,cave_roosting,"1,47",40,0,40,2,0,2,1,93,61,NA,60,60
Murina_leucogaster,Murina_leucogaster,Murina_leucogaster,Murina_leucogaster,VESPERTILIONIDAE,Murina leucogastra  |Murina rubex,LC,YES,Insectivore,1.82E+12,1815211.103,7.54,-0.281419271,facultative,cave_roosting,126,13,0,13,1,1,2,0.5,43,35,1,14,0
Myotis_austroriparius,Myotis_austroriparius,Myotis_austroriparius,Myotis_austroriparius,VESPERTILIONIDAE,NA,LC,YES,Insectivore,8.35E+11,835048.7506,7.35,-0.207626176,facultative,cave_roosting,53,5,0,5,0,1,1,0,13,NA,4,21,0
Myotis_blythii,Myotis_blythii,Myotis_blythii,Myotis_blythii,VESPERTILIONIDAE,Myotis oxygnathus  |Myotis oxygnathus  |Myotis oxygnathus,LC,YES,Insectivore,6.20E+12,6202990.552,23.82,0.974192913,facultative,cave_roosting,1,9,5,14,2,0,2,1,47,40,NA,12,12
Myotis_californicus,Myotis_californicus,Myotis_californicus,Myotis_californicus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,3.99E+12,3994121.297,4.39,-0.720349174,facultative,cave_roosting,"1,54",6,0,6,1,0,1,1,59,45,1,60,60
Myotis_chiloensis,Myotis_chiloensis,Myotis_chiloensis,Myotis_chiloensis,VESPERTILIONIDAE,NA,LC,YES,Insectivore,5.03E+11,503071.8736,8.41,-0.072905015,facultative,cave_roosting,153,1,0,1,1,0,1,1,4,4,NA,60,60
Myotis_dasycneme,Myotis_dasycneme,Myotis_dasycneme,Myotis_dasycneme,VESPERTILIONIDAE,NA,NT,YES,Insectivore,5.44E+12,5436064.614,15.16,0.516333891,facultative,cave_roosting,1,10,0,10,2,0,2,1,16,16,NA,13,13
Myotis_daubentonii,Myotis_daubentonii,Myotis_daubentonii,Myotis_daubentonii,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.46E+13,14635130.45,7.63,-0.168944444,facultative,cave_roosting,"1,55",66,0,66,2,1,3,0.666666667,35,30,NA,25,13
Myotis_evotis,Myotis_evotis,Myotis_evotis,Myotis_evotis,VESPERTILIONIDAE,Myotis milleri,LC,YES,Insectivore,3.16E+12,3164884.768,6.91,-0.263135441,facultative,cave_roosting,"1,56",6,0,6,1,0,1,1,24,21,NA,60,60
Myotis_grisescens,Myotis_grisescens,Myotis_grisescens,Myotis_grisescens,VESPERTILIONIDAE,NA,NT,YES,Insectivore,8.55E+11,854748.4417,10.84,0.180916507,facultative,cave_roosting,"1,57",7,0,7,1,0,1,1,14,13,2,60,60
Myotis_horsfieldii,Myotis_horsfieldii,Myotis_horsfieldii,Myotis_horsfieldii,VESPERTILIONIDAE,,LC,YES,Insectivore,2.58E+12,2576798.887,6.05,-0.402268217,facultative,cave_roosting,"1,129",2,0,2,1,0,1,1,46,37,NA,NA,NA
Myotis_keenii,Myotis_keenii,Myotis_keenii,Myotis_keenii,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.09E+11,109286.7927,6.51,-0.321946154,facultative,cave_roosting,"1,58",3,0,3,1,2,3,0.333333333,10,9,5,64,60
Myotis_leibii,Myotis_leibii,Myotis_leibii,Myotis_leibii,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.42E+12,1424638.309,5.22,-0.547180999,facultative,cave_roosting,"1,59",0,0,0,1,0,1,1,14,13,6,60,60
Myotis_lucifugus,Myotis_lucifugus,Myotis_lucifugus,Myotis_lucifugus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.20E+13,12031523.89,7.8,-0.148202755,facultative,cave_roosting,"1,61",319,0,319,2,3,5,0.4,29,26,6,77,60
Myotis_macrodactylus,Myotis_macrodactylus,Myotis_macrodactylus,Myotis_macrodactylus,VESPERTILIONIDAE,Myotis macrodactylus subspecies continentalis|Myotis macrodactylus subspecies insularis,LC,YES,Insectivore,6.83E+11,683485.7531,7.48,-0.188799498,facultative,cave_roosting,178,6,0,6,0,1,1,0,6,NA,NA,14,0
Myotis_myotis,Myotis_myotis,Myotis_myotis,Myotis_myotis,VESPERTILIONIDAE,NA,LC,YES,Insectivore,3.87E+12,3874963.764,25.59,1.045869,facultative,cave_roosting,162,157,0,157,2,0,2,1,21,20,NA,13,13
Myotis_mystacinus,Myotis_mystacinus,Myotis_mystacinus,Myotis_mystacinus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,4.97E+12,4969174.154,9.1935,0.016339124,facultative,cave_roosting,1,15,0,15,1,1,2,0.5,19,18,6,14,0
Myotis_nattereri,Myotis_nattereri,Myotis_nattereri,Myotis_nattereri,VESPERTILIONIDAE,Myotis escalerae  |Myotis escalerae  |Myotis escalerae,LC,YES,Insectivore,5.86E+12,5864581.856,7.25,-0.216320137,facultative,cave_roosting,1,32,0,32,3,0,3,1,21,20,NA,13,13
Myotis_nigricans,Myotis_nigricans,Myotis_nigricans,Myotis_nigricans,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.45E+13,14467154.14,3.7,-0.893824768,facultative,cave_roosting,13,24,0,24,2,1,3,0.666666667,82,51,13,68,63
Myotis_septentrionalis,Myotis_septentrionalis,Myotis_septentrionalis,Myotis_septentrionalis,VESPERTILIONIDAE,NA,LC,YES,Insectivore,4.94E+12,4944309.5,9.1935,0.023211102,facultative,cave_roosting,62,16,0,16,1,3,4,0.25,19,17,5,72,60
Myotis_thysanodes,Myotis_thysanodes,Myotis_thysanodes,Myotis_thysanodes,VESPERTILIONIDAE,NA,LC,YES,Insectivore,3.48E+12,3480868.905,8.49,-0.058432606,facultative,cave_roosting,14,8,0,8,0,1,1,0,57,NA,6,21,0
Myotis_velifer,Myotis_velifer,Myotis_velifer,Myotis_velifer,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.96E+12,1961509.639,9.82,0.082094633,facultative,cave_roosting,15,23,0,23,1,0,1,1,60,45,13,60,60
Myotis_volans,Myotis_volans,Myotis_volans,Myotis_volans,VESPERTILIONIDAE,NA,LC,YES,Insectivore,4.72E+12,4717143.878,8.71,-0.037854698,facultative,cave_roosting,63,8,0,8,0,1,1,0,50,NA,NA,21,0
Myotis_yumanensis,Myotis_yumanensis,Myotis_yumanensis,Myotis_yumanensis,VESPERTILIONIDAE,NA,LC,YES,Insectivore,4.07E+12,4071452.128,5.15,-0.563329774,facultative,cave_roosting,1,8,0,8,2,0,2,1,47,38,2,60,60
Nyctalus_noctula,Nyctalus_noctula,Nyctalus_noctula,Nyctalus_noctula,VESPERTILIONIDAE,NA,LC,YES,Insectivore,7.20E+12,7203769.545,28.48,1.040117964,facultative,cave_roosting,"1,135",42,0,42,6,0,6,1,20,19,NA,82,82
Nycticeius_humeralis,Nycticeius_humeralis,Nycticeius_humeralis,Nycticeius_humeralis,VESPERTILIONIDAE,NA,LC,YES,Insectivore,2.89E+12,2889393.006,9.12,-0.098614318,facultative,cave_roosting,65,9,0,9,1,0,1,1,43,39,3,60,60
Pipistrellus_abramus,Pipistrellus_abramus,Pipistrellus_abramus,Pipistrellus_abramus,VESPERTILIONIDAE,Vespertilio irretilus  |Vespertilio pumiloides  |Vspertilio akokomuli,LC,YES,Insectivore,3.85E+12,3854526.261,5.87,-0.52382793,facultative,cave_roosting,145,25,0,25,0,1,1,0,44,NA,NA,14,0
Pipistrellus_ceylonicus,Pipistrellus_ceylonicus,Pipistrellus_ceylonicus,Pipistrellus_ceylonicus,VESPERTILIONIDAE,Pipistrellus ceylonicus subspecies chrysothrix|Pipistrellus ceylonicus subspecies subcanus|Pipistrellus chrysothrix  |Scotophilus ceylonicus  |Vesperugo indicus,LC,YES,Insectivore,2.30E+12,2300974.462,8.05,-0.210763644,facultative,cave_roosting,144,1,0,1,0,1,1,0,44,NA,NA,3,0
Pipistrellus_coromandra,Pipistrellus_coromandra,Pipistrellus_coromandra,Pipistrellus_coromandra,VESPERTILIONIDAE,,LC,YES,Insectivore,3.67E+12,3673638.987,4.6,-0.76762626,facultative,cave_roosting,144,1,0,1,1,0,1,1,51,41,NA,1,1
Pipistrellus_hesperus,Pipistrellus_hesperus,Pipistrellus_hesperus,Pipistrellus_hesperus,VESPERTILIONIDAE,Parastrellus hesperus,LC,YES,Insectivore,2.66E+12,2664115.449,3.56,-1.039323577,facultative,cave_roosting,1,7,0,7,1,0,1,1,51,41,NA,60,60
Pipistrellus_kuhlii,Pipistrellus_kuhlii,Pipistrellus_kuhlii,Pipistrellus_kuhlii,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.09E+13,10928979.37,6.07,-0.49307713,facultative,cave_roosting,1,15,0,15,1,1,2,0.5,34,29,NA,12,0
Pipistrellus_nathusii,Pipistrellus_nathusii,Pipistrellus_nathusii,Pipistrellus_nathusii,VESPERTILIONIDAE,NA,LC,YES,Insectivore,5.88E+12,5884044.856,7.44,-0.28770411,facultative,cave_roosting,1,12,0,12,2,0,2,1,18,17,NA,13,13
Pipistrellus_pipistrellus,Pipistrellus_pipistrellus,Pipistrellus_pipistrellus,Pipistrellus_pipistrellus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.15E+13,11507786.8,5.3,-0.626868138,facultative,cave_roosting,"1,133",88,0,88,5,2,7,0.714285714,59,51,1,31,23
Pipistrellus_subflavus,Pipistrellus_subflavus,Pipistrellus_subflavus,Pipistrellus_subflavus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,4.27E+12,4272541.152,5.74,-0.561624912,facultative,cave_roosting,"1,69",19,0,19,1,0,1,1,63,46,7,60,60
Plecotus_auritus,Plecotus_auritus,Plecotus_auritus,Plecotus_auritus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,6.52E+12,6524503.411,8.19,-0.200331602,facultative,cave_roosting,"1,133",38,0,38,1,1,2,0.5,18,17,NA,26,13
Scotophilus_kuhlii,Scotophilus_kuhlii,Scotophilus_kuhlii,Scotophilus_kuhlii,VESPERTILIONIDAE,Scotophilus fulvus  |Scotophilus kuhlii subspecies wroughtoni|Scotophilus temmincki subspecies wroughtoni|Scotophilus wroughtoni,LC,YES,Insectivore,5.25E+12,5254460.716,20.31,0.707310552,facultative,cave_roosting,1,10,0,10,4,4,8,0.5,56,45,NA,51,24
Vespertilio_murinus,Vespertilio_murinus,Vespertilio_murinus,Vespertilio_murinus,VESPERTILIONIDAE,NA,LC,YES,Insectivore,1.57E+13,15695061.61,15.42,0.430973344,facultative,cave_roosting,"1,37",9,0,9,4,0,4,1,25,21,NA,80,80
Vespertilio_sinensis,Vespertilio_sinensis,Vespertilio_sinensis,Vespertilio_sinensis,VESPERTILIONIDAE,Vespertilio andersoni  |Vespertilio aurijunctus  |Vespertilio montanus  |Vespertilio motoyoshii  |Vespertilio namyiei  |Vespertilio orientalis  |Vespertilio superans,LC,YES,Insectivore,1.57E+12,1566752.867,24.3,0.885784326,facultative,cave_roosting,76,2,6,8,1,0,1,1,22,19,NA,8,8
Diclidurus_albus,Diclidurus_albus,Diclidurus_albus,Diclidurus_albus,EMBALLONURIDAE,NA,LC,YES,Insectivore,1.26E+13,12574723.77,16.56,-0.320781689,non,non_cave,33,0,0,0,1,0,1,1,79,48,NA,60,60
Saccolaimus_flaviventris,Saccolaimus_flaviventris,Saccolaimus_flaviventris,Saccolaimus_flaviventris,EMBALLONURIDAE,Taphazous affinis subspecies insignis|Taphazous hargravei,LC,YES,Insectivore,6.08E+12,6078598.995,45.25,0.686921047,non,non_cave,141,3,0,3,1,0,1,1,12,9,NA,5,5
Cynomops_abrasus,Cynomops_abrasus,Cynomops_abrasus,Cynomops_abrasus,MOLOSSIDAE,Molossops abrasus,DD,YES,Insectivore,9.96E+12,9956845.564,35.39,0.790972413,non,non_cave,188,2,2,4,1,0,1,1,63,37,NA,60,60
Cynomops_planirostris,Cynomops_planirostris,Cynomops_planirostris,Cynomops_planirostris,MOLOSSIDAE,Molossops planirostris,LC,YES,Insectivore,1.15E+13,11520267.59,12.84,-0.222891583,non,non_cave,120,1,1,2,0,1,1,0,64,NA,NA,21,0
Eumops_auripendulus,Eumops_auripendulus,Eumops_auripendulus,Eumops_auripendulus,MOLOSSIDAE,NA,LC,YES,Insectivore,1.42E+13,14192611.51,28.49,0.579131617,non,non_cave,"1,24",2,0,2,1,0,1,1,74,44,NA,60,60
Eumops_glaucinus,Eumops_glaucinus,Eumops_glaucinus,Eumops_glaucinus,MOLOSSIDAE,NA,LC,YES,Insectivore,9.03E+12,9026455.107,36.2,0.818637587,non,non_cave,"1,25",5,0,5,1,0,1,1,64,38,NA,60,60
Eumops_patagonicus,Eumops_patagonicus,Eumops_patagonicus,Eumops_patagonicus,MOLOSSIDAE,NA,LC,YES,Insectivore,1.54E+12,1541776.54,38.55333333,0.882036607,non,non_cave,26,1,0,1,1,0,1,1,45,32,NA,60,60
Molossops_neglectus,Molossops_neglectus,Molossops_neglectus,Molossops_neglectus,MOLOSSIDAE,NA,DD,YES,Insectivore,3.90E+12,3903443.365,6.91,-0.843133542,non,non_cave,191,1,0,1,0,1,1,0,61,NA,NA,21,0
Tadarida_pumila,Chaerephon_pumilus,Chaerephon_pumilus,Chaerephon_pumilus,MOLOSSIDAE,Chaerephon leucogaster  |Chaerephon pumila  |Chaerephon pumilus  |Chaerephon pusillus  |Tadarida leucogaster  |Tadarida pusilla,LC,YES,Insectivore,7.28E+12,7284771.437,10.98,-0.377133857,non,non_cave,80,2,5,7,4,3,7,0.571428571,27,23,NA,28,8
Artibeus_cinereus,Dermanura_cinerea,Dermanura_cinerea,Artibeus_cinereus,PHYLLOSTOMIDAE,Dermanura_cinerea,LC,YES,Frugivore,4.35E+12,4346843.33,12.7,-0.507823794,non,non_cave,"1,115",0,3,3,0,4,4,0,58,NA,NA,40,0
Artibeus_obscurus,Artibeus_obscurus,Artibeus_obscurus,Artibeus_obscurus,PHYLLOSTOMIDAE,,LC,YES,Frugivore,1.12E+13,11191603.35,35.6,0.522069835,non,non_cave,"1,90",6,0,6,1,0,1,1,61,35,NA,2,2
Artibeus_phaeotis,Dermanura_phaeotis,Dermanura_phaeotis,Artibeus_phaeotis,PHYLLOSTOMIDAE,Dermanura phaotis,LC,YES,Frugivore,3.76E+12,3761064.853,11.69,-0.590582482,non,non_cave,39,1,0,1,1,5,6,0.166666667,75,47,NA,42,4
Artibeus_planirostris,Artibeus_planirostris,Artibeus_planirostris,Artibeus_planirostris,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,7.95E+12,7952207.556,43.63,0.725469185,non,non_cave,21,23,0,23,1,0,1,1,61,35,NA,60,60
Lophostoma_silvicolum,Lophostoma_silvicolum,Lophostoma_silvicolum,Lophostoma_silvicolum,PHYLLOSTOMIDAE,Tonatia silvicola,LC,YES,Other,7.74E+12,7740829.253,32.29,0.439645819,non,non_cave,106,2,0,2,0,2,2,0,66,NA,NA,8,0
Mimon_crenulatum,Mimon_crenulatum,Mimon_crenulatum,Mimon_crenulatum,PHYLLOSTOMIDAE,NA,LC,YES,Insectivore,1.12E+13,11206234.59,13.91,-0.402332954,non,non_cave,"1,88",4,0,4,0,1,1,0,66,NA,NA,11,0
Sturnira_tildae,Sturnira_tildae,Sturnira_tildae,Sturnira_tildae,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,1.07E+13,10727081.64,24.39,0.149182669,non,non_cave,137,0,0,0,0,1,1,0,62,NA,NA,15,0
Uroderma_bilobatum,Uroderma_bilobatum,Uroderma_bilobatum,Uroderma_bilobatum,PHYLLOSTOMIDAE,,LC,YES,Frugivore,1.29E+13,12874009.51,16.28,-0.257491542,non,non_cave,38,9,0,9,3,2,5,0.6,73,43,NA,70,62
Vampyrodes_caraccioli,Vampyrodes_caraccioli,Vampyrodes_caraccioli,Vampyrodes_caraccioli,PHYLLOSTOMIDAE,NA,LC,YES,Frugivore,7.37E+12,7371933.826,35.89,0.532818816,non,non_cave,74,1,0,1,0,2,2,0,59,NA,NA,8,0
Eidolon_helvum,Eidolon_helvum,Eidolon_helvum,Eidolon_helvum,PTEROPODIDAE,Eidolon helvum subspecies sabaeum,NT,YES,Frugivore,1.19E+13,11875972.2,254.61,0.34450486,non,non_cave,22,80,0,80,4,14,18,0.222222222,24,23,NA,50,10
Epomophorus_gambianus,Epomophorus_gambianus,Epomophorus_gambianus,Epomophorus_gambianus,PTEROPODIDAE,Epomophorus gambianus subspecies pousarguesi,LC,YES,Frugivore,3.82E+12,3815200.776,134.59,-0.353153176,non,non_cave,23,5,0,5,0,4,4,0,20,NA,NA,18,0
Epomophorus_labiatus,Epomophorus_labiatus,Epomophorus_labiatus,Epomophorus_labiatus,PTEROPODIDAE,Epomophorus minor,LC,YES,Frugivore,1.78E+12,1776388.275,69.65,-1.011903596,non,non_cave,150,0,0,0,1,1,2,0.5,21,20,NA,4,2
Epomophorus_wahlbergi,Epomophorus_wahlbergi,Epomophorus_wahlbergi,Epomophorus_wahlbergi,PTEROPODIDAE,NA,LC,YES,Frugivore,5.03E+12,5031322.06,93.59,-0.716230257,non,non_cave,31,13,0,13,1,0,1,1,20,20,NA,5,5
Epomops_dobsonii,Epomops_dobsonii,Epomops_dobsonii,Epomops_dobsonii,PTEROPODIDAE,Epomops dobsoni,LC,YES,Frugivore,1.38E+12,1375331.419,122.08,-0.447327851,non,non_cave,152,0,0,0,1,0,1,1,20,20,NA,5,5
Epomops_franqueti,Epomops_franqueti,Epomops_franqueti,Epomops_franqueti,PTEROPODIDAE,NA,LC,YES,Frugivore,4.54E+12,4538839.981,118.99,-0.472964962,non,non_cave,152,8,0,8,3,1,4,0.75,22,21,NA,10,10
Hypsignathus_monstrosus,Hypsignathus_monstrosus,Hypsignathus_monstrosus,Hypsignathus_monstrosus,PTEROPODIDAE,NA,LC,YES,Frugivore,2.88E+12,2879295.849,336.97,0.569499124,non,non_cave,"1,44",11,0,11,1,5,6,0.166666667,22,21,NA,21,5
Macroglossus_minimus,Macroglossus_minimus,Macroglossus_minimus,Macroglossus_minimus,PTEROPODIDAE,NA,LC,YES,Frugivore,3.61E+12,3613476.881,16.3,-2.237781498,non,non_cave,1,5,0,5,1,0,1,1,43,31,NA,1,1
Micropteropus_pusillus,Micropteropus_pusillus,Micropteropus_pusillus,Micropteropus_pusillus,PTEROPODIDAE,NA,LC,YES,Frugivore,5.42E+12,5415408.706,25.38,-2.020959824,non,non_cave,51,6,0,6,3,0,3,1,22,21,NA,12,12
Myonycteris_torquata,Myonycteris_torquata,Myonycteris_torquata,Myonycteris_torquata,PTEROPODIDAE,NA,LC,YES,Frugivore,3.67E+12,3674301.243,44.92,-1.379210931,non,non_cave,149,7,0,7,1,0,1,1,21,20,NA,5,5
Pteropus_admiralitatum,Pteropus_admiralitatum,Pteropus_admiralitatum,Pteropus_admiralitatum,PTEROPODIDAE,NA,LC,YES,Frugivore,76333114678,76333.11468,306.46,0.54022113,non,non_cave,82,0,0,0,0,1,1,0,10,NA,NA,8,0
Pteropus_alecto,Pteropus_alecto,Pteropus_alecto,Pteropus_alecto,PTEROPODIDAE,NA,LC,YES,Frugivore,1.36E+12,1362104.603,610.13,1.228805938,non,non_cave,1,62,0,62,4,6,10,0.4,28,22,NA,46,6
Pteropus_capistratus,Pteropus_capistratus,Pteropus_capistratus,Pteropus_capistratus,PTEROPODIDAE,NA,NT,YES,Frugivore,44463566420,44463.56642,638.555,1.2743417,non,non_cave,83,0,0,0,0,1,1,0,11,NA,NA,8,0
Pteropus_conspicillatus,Pteropus_conspicillatus,Pteropus_conspicillatus,Pteropus_conspicillatus,PTEROPODIDAE,NA,LC,YES,Frugivore,2.21E+11,220982.3483,760.71,1.449386097,non,non_cave,84,15,0,15,2,1,3,0.666666667,16,11,NA,5,5
Pteropus_giganteus,Pteropus_giganteus,Pteropus_giganteus,Pteropus_giganteus,PTEROPODIDAE,Pteropus ariel  |Pteropus assamensis  |Pteropus edwardsi  |Pteropus kelaarti  |Pteropus leucocephalus  |Pteropus medius  |Pteropus ruvicollis  |Vespertilio gigantea,LC,YES,Frugivore,4.02E+12,4021279.429,824.85,1.512788707,non,non_cave,85,52,2,54,8,2,10,0.8,41,33,NA,8,8
Pteropus_hypomelanus,Pteropus_hypomelanus,Pteropus_hypomelanus,Pteropus_hypomelanus,PTEROPODIDAE,Pteropus annectens  |Pteropus cagayanus  |Pteropus canus  |Pteropus condorensis  |Pteropus enganus  |Pteropus fretensis  |Pteropus geminorum  |Pteropus lepidus  |Pteropus luteus  |Pteropus macassaricus  |Pteropus maris  |Pteropus robinsoni  |Pteropus satyrus  |Pteropus simalurus  |Pteropus tomesi  |Pteropus tricolor  |Pteropus vulcanius,LC,YES,Frugivore,5.28E+11,527562.7497,435.61,0.891881237,non,non_cave,1,29,0,29,3,2,5,0.6,32,23,NA,21,8
Pteropus_lylei,Pteropus_lylei,Pteropus_lylei,Pteropus_lylei,PTEROPODIDAE,NA,VU,YES,Frugivore,1.07E+11,107483.5989,319.75,0.565126596,non,non_cave,86,9,0,9,1,4,5,0.2,37,32,NA,11,6
Pteropus_neohibernicus,Pteropus_neohibernicus,Pteropus_neohibernicus,Pteropus_neohibernicus,PTEROPODIDAE,NA,LC,YES,Frugivore,6.77E+11,676990.8644,1017.37,1.740110034,non,non_cave,1,1,0,1,0,1,1,0,15,NA,NA,8,0
Pteropus_poliocephalus,Pteropus_poliocephalus,Pteropus_poliocephalus,Pteropus_poliocephalus,PTEROPODIDAE,NA,VU,YES,Frugivore,2.50E+11,250190.94,702.78,1.370177788,non,non_cave,1,56,0,56,5,0,5,1,5,4,NA,67,67
Pteropus_rufus,Pteropus_rufus,Pteropus_rufus,Pteropus_rufus,PTEROPODIDAE,NA,VU,YES,Frugivore,1.86E+11,186407.526,535.32,1.097998588,non,non_cave,87,11,0,11,0,5,5,0,4,NA,NA,31,0
Pteropus_scapulatus,Pteropus_scapulatus,Pteropus_scapulatus,Pteropus_scapulatus,PTEROPODIDAE,NA,LC,YES,Frugivore,3.05E+12,3047531.831,380.35,0.756225771,non,non_cave,1,21,0,21,2,5,7,0.285714286,10,8,NA,45,5
Pteropus_vampyrus,Pteropus_vampyrus,Pteropus_vampyrus,Pteropus_vampyrus,PTEROPODIDAE,Pteropus caninus  |Pteropus celaeno  |Pteropus edulis  |Pteropus funereus  |Pteropus javanicus  |Pteropus kalou  |Pteropus kelaarti  |Pteropus kopangi  |Pteropus lanensis  |Pteropus malaccensis  |Pteropus natunae  |Pteropus nudus  |Pteropus phaiops  |Pteropus pluton  |Pteropus pteronotus  |Pteropus sumatrensis,NT,YES,Frugivore,1.95E+12,1953294.124,1027.54,1.73251003,non,non_cave,1,41,0,41,1,1,2,0.5,38,31,NA,6,6
Syconycteris_australis,Syconycteris_australis,Syconycteris_australis,Syconycteris_australis,PTEROPODIDAE,NA,LC,YES,Frugivore,1.06E+12,1060912.371,17.6,-2.161047704,non,non_cave,"1,81",4,0,4,1,0,1,1,19,12,NA,NA,NA
