hHostNameFinal,hHostNameIUCN,hHostNameIUCN_spatial,hHostNameST,hFamily,Synonyms,hIUCNstatus,IUCNmap,Diet,area_sqm,area_sqkm,hMassGrams,PVRST_resid_Mass,cave_status,roosting_behavior,roosting_reference,PubMed_hits,s_PMpublications,PubMedtotal,n_virus_str,n_virus_sera,n_virus_total,prop_virus_str_total,sympatric_species,str_sympatric_species,n_coroosters,sharedhosts,sharedhosts_str
Megaderma_lyra,Megaderma_lyra,Megaderma_lyra,Megaderma_lyra,MEGADERMATIDAE,Encheira lyra subspecies caurina|Megaderma lyra subspecies caurina|Megaderma schistacea  |Megaderma spectrum  |Vespertilio carnatica,LC,YES,Other,6.07E+12,6070972.86,39.27,0.682457235,facultative,cave_roosting,1,32,0,32,0,2,2,0,55,NA,NA,17,0
Miniopterus_inflatus,Miniopterus_inflatus,Miniopterus_inflatus,Miniopterus_inflatus,MINIOPTERIDAE,Miniopterus africanus,LC,NO,Insectivore,NA,NA,14.9,-0.082173898,facultative,cave_roosting,167,5,0,5,1,0,1,1,NA,NA,NA,2,2
Miniopterus_pusillus,Miniopterus_pusillus,Miniopterus_pusillus,Miniopterus_pusillus,MINIOPTERIDAE,,LC,NO,Insectivore,NA,NA,NA,NA,facultative,cave_roosting,"1,127",5,0,5,2,0,2,1,NA,NA,1,4,4
Miniopterus_schreibersii,Miniopterus_schreibersii,Miniopterus_schreibersii,Miniopterus_schreibersii,MINIOPTERIDAE,NA,NT,NO,Insectivore,NA,NA,11.46,-0.3446724,facultative,cave_roosting,1,73,0,73,10,5,15,0.666666667,NA,NA,8,45,31
Eumops_perotis,Eumops_perotis,Eumops_perotis,Eumops_perotis,MOLOSSIDAE,NA,LC,YES,Insectivore,1.18E+13,11759519.21,50.97,1.159247361,facultative,cave_roosting,"1,36",6,0,6,1,0,1,1,79,55,NA,60,60
Molossus_molossus,Molossus_molossus,Molossus_molossus,Molossus_molossus,MOLOSSIDAE,NA,LC,YES,Insectivore,1.59E+13,15860602.76,13.7,-0.15834373,facultative,cave_roosting,120,73,0,73,2,5,7,0.285714286,86,55,1,81,60
Molossus_rufus,Molossus_rufus,Molossus_rufus,Molossus_rufus,MOLOSSIDAE,Molossus ater,LC,YES,Insectivore,1.49E+13,14887038.65,13.7,-0.15834373,facultative,cave_roosting,120,11,18,29,2,7,9,0.222222222,82,51,NA,79,60
Nyctinomops_laticaudatus,Nyctinomops_laticaudatus,Nyctinomops_laticaudatus,Nyctinomops_laticaudatus,MOLOSSIDAE,Tadarida espiritosantensis | tadarida laticaudata,LC,YES,Insectivore,1.32E+13,13179550.7,13.12,-0.200430472,facultative,cave_roosting,"1,66",12,0,12,1,0,1,1,82,51,6,60,60
Nyctinomops_macrotis,Nyctinomops_macrotis,Nyctinomops_macrotis,Nyctinomops_macrotis,MOLOSSIDAE,NA,LC,YES,Insectivore,1.58E+13,15830748.61,16.38,0.021492823,facultative,cave_roosting,"1,67",8,0,8,1,0,1,1,88,57,NA,60,60
Tadarida_brasiliensis,Tadarida_brasiliensis,Tadarida_brasiliensis,Tadarida_brasiliensis,MOLOSSIDAE,NA,LC,YES,Insectivore,1.39E+13,13890163.99,12.61,-0.241486852,facultative,cave_roosting,27,139,0,139,3,2,5,0.6,94,62,7,72,60
